['Time', 'Quardent', 'Ball Color', 'Type']
[2.0, 3, 'yellow', 'Entry']
[10.0, 2, 'white', 'Entry']
[10.0, 4, 'green', 'Entry']
[13.0, 1, 'orange', 'Entry']
[16.0, 2, 'white', 'Exit']
[19.0, 4, 'green', 'Exit']
[21.0, 1, 'orange', 'Exit']
[25.0, 4, 'white', 'Entry']
[27.0, 2, 'orange', 'Entry']
[30.0, 3, 'yellow', 'Exit']
[33.0, 3, 'green', 'Entry']
[37.0, 1, 'yellow', 'Entry']
[42.0, 2, 'orange', 'Exit']
[44.0, 1, 'yellow', 'Exit']
[47.0, 3, 'green', 'Exit']
[49.0, 3, 'yellow', 'Entry']
[52.0, 1, 'orange', 'Entry']
[55.0, 4, 'white', 'Exit']
[57.0, 4, 'green', 'Entry']
[64.0, 1, 'orange', 'Exit']
[65.0, 4, 'green', 'Exit']
[67.0, 3, 'yellow', 'Exit']
[70.0, 1, 'yellow', 'Entry']
[74.0, 3, 'white', 'Entry']
[77.0, 2, 'green', 'Entry']
[78.0, 4, 'orange', 'Entry']
[85.0, 1, 'yellow', 'Exit']
[86.0, 2, 'green', 'Exit']
[87.0, 4, 'orange', 'Exit']
[88.0, 3, 'white', 'Exit']
[90.0, 1, 'orange', 'Entry']
[94.0, 1, 'orange', 'Exit']
[95.0, 1, 'orange', 'Entry']
[98.0, 2, 'white', 'Entry']
[99.0, 2, 'white', 'Exit']
[99.0, 1, 'orange', 'Exit']
[99.0, 4, 'green', 'Entry']
[100.0, 3, 'yellow', 'Entry']
[101.0, 2, 'white', 'Entry']
[101.0, 1, 'orange', 'Entry']
[]
[]
[]
['The last output values vary because in the video persons hand cover the ball so algo thinks ball is exit. And when hand uncovered the ball it again enter the ball']
